Question,Category
"දින 31 ක් ඇති ඔක්තෝබර් මාසයක පළමුවෙනි සතියේ දෙවැනි දවසකි. එම මාසයේ 31 වැනිදා,
(1) අඟහරුවාදා දිනයකි. 
(2) බදාදා දිනයකි. 
(3) බ්‍රහස්පතින්දා දිනයකි.",Common knowledge and logic reasoning
"අංක 01, 02 ආදි වශයෙන් 50 තෙක් අංක එක ලිවීමේදී 0 ඉලක්කම යෙදෙන වාර ගණන කීය ද?
(1) 7 
(2) 13 
(3) 14",Mathematics
"පන්ති තුනක සිටින සිසු සංඛ්‍යා 36, 37 සහ 38 වේ. එක් එක් පන්තියක පිරිමි ළමයින් සිටින සාමාන්‍ය වට 
ගණනූ ලැබුණු ළමයි තුන්දෙනෙක් වැඩියෙන් සිටිති. එම පන්තියේ සිටින මුළු සිසු සංඛ්‍යාව කීය ද?
(1) 36 
(2) 37 
(3) 38",Mathematics
"පහත ඇති කවියෙන් කියැවෙන්නේ කුමක් පිළිබඳ ව ද?
සීතල දානයෙන් එන මෙහෙ යන්නේ
සතුටු දසුනෙදි නිතර තෙමෙන්නේ
අනුන් කරුණාව තම නැති අඩුව දෙන්නේ
දොළොස් පුරයෙන් ඉක්මනට වැයෙන්නේ
(1) ඇස 
(2) මුව 
(3) නාසය",Sinhala language comprehension
"රාධා, සීතා, මීනා, කාසිම් සහ සුනිල් යන පස්දෙනා අතරින්, රාධා වඩා උසයි. මීනා වඩා මිටියි. කාසිම් වඩා මිටියි. කාසිම්ට වඩා උසින් බාල දෙදෙනෙකු පමණි. සීතාට වඩා උසින් බාල සුනිල් පමණි. වැඩිමහල්ම කවුරුන් ද?
(1) මීනා 
(2) රාධා 
(3) කාසිම්",Common knowledge and logic reasoning
"මීටර් සියය දිවීමේ තරගයක් පිළිබඳ ව A, B සහ C යනුවෙන් ප්‍රකාශ තුනක් පහත දී ඇත.
A : කිලෝ මීටර් පෙර අඩි තරගය නිම කළේ ය.
B : තරගකරුවන් හය දෙනෙකු තරගය නිම කළේ කිලෝ මීටර පසු ව ය.
C : තරගකරුවන් අට දෙනෙක් තරගයට සහභාගි වූහ.
තරගයේ පළමුවැන්නා කවුරුන්දැයි නිගමනය කිරීමට අවශ්‍ය ප්‍රකාශ මොනවා ද?
(1) A සහ B පමණි. 
(2) A සහ C පමණි. 
(3) A, B හා C තුනම.",Common knowledge and logic reasoning
"අමර, කමල් හා සමන් යන මිතුරන් තිදෙනාගේ නැඟණියන් පිළිවෙළින් දීපා, රාණි හා සිතා වෙති. අමරගේ නැඟණිය වැඩිමහල් වන අතර දීපා වී සිටින්නේ දෙවැන්නා ය. කමල්ගේ නැඟණිය දීපා නොවේ නම්, සමන්ගේ නැඟණිය කවුරුන් ද?
(1) දීපා 
(2) රාණි 
(3) සිතා",Common knowledge and logic reasoning
"පහත දැක්වෙන ඡේදය කියවන්න.

වෙල් එළපතේ සිටින රාජා සුදු සමන්ට දැනුණේ දයාබර සතුටකි. රාජා සමග සෙල්ලම් කිරීමට නොඉවසිලිමත් වූ සමන් වහා දුව ගොස් ඔහු අසලට දිව ගියේ ය. 
වරක් කුරුල්ලෙකු අහසින් පාවෙන සරුංගලයක් දුටු සමන් ඉක්මනින් සතුටට පත් විය. සරුංගලයේ නූල් කූඩුව ළඟ ඇති වන බව සිතා 
ඔහු සම්පූර්ණ පැමිණිලි සමග රාජාට පැවසුවේ ය. අහසේ ඈතට පාවී යන සරුංගලය දෙස බලා රාජාට දුකක් දැනුණු දුටු සමන් ""අපි තව සරුංගලයක් හදමු"" යැයි යෝජනා කළේ ය.

ඡේදය ආශ්‍රයෙන් පිළිතුරු සපයන්න.

(1) සමන් කුමන දෙයට දිව ගියේ කුමක් සඳහා ද?
(2) 'ඉක්මනින්' යන තේරුම දෙන වචනය ඡේදයේ යොදා ඇති වාක්‍යයක් ලියන්න.
(3) සමන් සරුංගලය දුටුවේ කුමක් ලෙස ද?
(4) 'ශෝකය' යන තේරුම දෙන වචනය අවසාන වාක්‍යයේ දැක්වෙන පරිදි ලියන්න.
(5) රාජාගේ සරුංගලය අහසේ ඈතට පාවී ගියේ කුමක් නිසා ද?
(6) ""අපි තව සරුංගලයක් හදමු"" යැයි සමන් යෝජනා කළේ ඇයි?",Sinhala language comprehension
"ප්‍රාණවාචී, අක්‍රියාවාචී, අලිංග කාල ක්‍රියා පද්‍ය තෝරා යටින් ඉරික් අඳින්න.
(1) ගියේ ය.   
(2) දුන්නේ ය.   
(3) දිලිසුනේ ය.",Sinhala grammar comprehension
" දී ඇති වචන යොදා සුදුසු වාක්‍යයක් ලියන්න.
පූරුවේ / කීපවිටක / පුරුදු / නිර්මාණ / දෑ / ඇති / වෙමු",Sinhala language comprehension
